open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646278200000,43714.30,43811.00,43165.10,43312.70,11229.368,1646279999999,487650392.91739,134544,4831.151,209845139.66397,0
1646280000000,43312.80,43480.60,43285.00,43408.50,4158.906,1646281799999,180507175.51184,46952,2231.511,96866432.14180,0
1646281800000,43408.40,43450.00,43251.00,43433.10,3454.899,1646283599999,149753912.75856,41225,1756.625,76151005.57191,0
1646283600000,43433.00,43509.00,43368.20,43406.90,2777.850,1646285399999,120678829.57954,36611,1342.678,58339718.72804,0
1646285400000,43406.80,43408.00,43272.60,43320.00,2429.213,1646287199999,105301333.27162,32526,1206.657,52311435.11782,0
1646287200000,43320.00,43365.50,42858.00,43155.10,12708.128,1646288999999,547649312.47752,119781,5616.732,242103940.16452,0
1646289000000,43155.20,43470.00,43085.30,43430.10,7546.168,1646290799999,327076572.72955,76217,3974.413,172234955.50512,0
1646290800000,43430.00,43700.00,43363.00,43536.60,8207.624,1646292599999,357110086.40144,83527,4467.202,194416224.68557,0
1646292600000,43536.70,43590.40,43326.20,43468.00,3669.449,1646294399999,159441907.32628,42816,1544.455,67114364.94567,0
1646294400000,43468.00,43616.00,43420.00,43439.20,4132.482,1646296199999,179831258.85506,50188,2066.338,89935018.81721,0
1646296200000,43439.10,43462.80,43262.00,43457.00,4008.248,1646297999999,173899799.80363,49358,1967.185,85361181.21951,0
1646298000000,43457.00,43480.00,43234.00,43265.00,4481.249,1646299799999,194145752.20223,55758,2107.183,91299991.36107,0
1646299800000,43265.10,43363.80,43096.60,43157.20,6182.045,1646301599999,267166675.31798,73053,2884.775,124699228.63788,0
1646301600000,43157.10,43293.30,43120.00,43200.00,4604.090,1646303399999,198886444.44537,54253,2309.920,99803333.36547,0
1646303400000,43200.00,43500.00,43056.20,43389.30,7490.834,1646305199999,324277628.43029,81697,3770.025,163263459.08601,0
1646305200000,43389.20,43580.00,43300.00,43539.40,5880.353,1646306999999,255482522.19033,62004,3185.794,138433870.73473,0
1646307000000,43539.40,43587.10,43360.00,43377.20,3366.529,1646308799999,146290254.94031,41264,1561.326,67850897.22365,0
1646308800000,43377.30,43792.40,43308.00,43708.90,7728.930,1646310599999,336610876.44261,79727,3952.859,172229159.97189,0
1646310600000,43708.80,43720.00,43435.00,43553.80,5092.544,1646312399999,221841673.72827,56319,2423.298,105560738.40711,0
1646312400000,43553.80,43749.80,43479.00,43686.30,5321.195,1646314199999,232115141.55893,57404,2738.977,119478002.82150,0
1646314200000,43686.30,43999.00,43632.10,43968.10,9892.620,1646315999999,433408981.99671,108375,5551.615,243291520.31964,0
1646316000000,43967.90,44080.00,43753.30,43808.40,10422.912,1646317799999,457899126.73821,117337,4869.922,213977615.53715,0
1646317800000,43808.40,43864.50,43310.00,43409.10,13212.176,1646319599999,575436487.85235,143613,5872.783,255827144.46508,0
